ID,Name,Team,Nationality,Age,Salary £,Value,Net value
90,A. Basith,RR,India,24,19600.0,404211.87000000005,384611.87000000005
91,J. Holder,RR,West Indies,31,563500.0,-118705.50000000001,-682205.5
92,R. Ashwin,RR,India,36,490000.0,300739.23000000004,-189260.76999999996
93,A. Vasisht,RR,India,28,19600.0,409767.12000000005,390167.12000000005
94,K. Asif,RR,India,29,29400.0,218794.77000000002,189394.77000000002
95,K. Yadav,RR,India,26,19600.0,367406.28,347806.28
96,T. Boult,RR,New Zealand,33,784000.0,497267.10000000003,-286732.89999999997
97,S. Sharma,RR,India,30,48699.0,134766.99000000002,86067.99000000002
98,K. Sen,RR,India,26,19600.0,335461.5,315861.5
99,P. Krishna,RR,India,27,980000.0,409767.12000000005,-570232.8799999999
100,O. McCoy,RR,West Indies,26,73500.0,372267.09,298767.09
101,N. Saini,RR,India,30,254800.0,429211.71,174411.71000000002
102,Y. Chahal,RR,India,32,637000.0,758378.7000000001,121378.70000000007
103,A. Zampa,RR,Australia,31,147000.0,434766.69,287766.69
104,M. Ashwin,RR,India,32,19600.0,274350.24,254750.24
105,K. Cariappa,RR,India,29,29400.0,409767.12000000005,380367.12000000005
106,F. Plessis,RCB,South Africa,38,686000.0,1391712.84,705712.8400000001
107,V. Kohli,RCB,India,34,1470000.0,1168795.98,-301204.02
108,R. Patidar,RCB,India,29,19600.0,483378.3900000001,463778.3900000001
109,F. Allen,RCB,New Zealand,24,78400.0,483378.3900000001,404978.3900000001
110,W. Jacks,RCB,England,24,313600.0,483378.3900000001,169778.39000000007
111,D. Karthik,RCB,India,37,539000.0,483378.3900000001,-55621.60999999993
112,A. Rawat,RCB,India,23,333200.0,425045.07,91845.07
113,M. Bracewell,RCB,New Zealand,32,98000.0,575739.0900000001,477739.0900000001
114,M. Lomror,RCB,India,23,93100.0,159766.83000000002,66666.83000000002
115,D. Willey,RCB,England,33,196000.0,438934.14,242934.14
116,S. Ahmed,RCB,India,28,235200.0,72961.56,-162238.44
117,G. Maxwell,RCB,Australia,34,1078000.0,558378.36,-519621.64
118,S. Prabhudessai,RCB,India,25,29400.0,354211.38,324811.38
119,W. Hasaranga,RCB,Sri Lanka,25,1053500.0,483378.3900000001,-570121.6099999999
120,K. Jadhav,RCB,India,38,98000.0,483378.3900000001,385378.3900000001
121,M. Bhandage,RCB,India,24,19600.0,483378.3900000001,463778.3900000001
122,S. Yadav,RCB,India,23,19600.0,483378.3900000001,463778.3900000001
123,S. Kaul,RCB,India,33,808500.0,483378.3900000001,-325121.6099999999
124,W. Parnell,RCB,South Africa,33,49000.0,373656.24000000005,324656.24000000005
125,R. Topley,RCB,England,29,186200.0,433378.35000000003,247178.35000000003
126,A. Deep,RCB,India,26,19600.0,306295.02,286695.02
127,H. Patel,RCB,India,32,1053500.0,154906.02000000002,-898593.98
128,V. Vyshak,RCB,India,26,19600.0,366711.30000000005,347111.30000000005
129,J. Hazlewood,RCB,Australia,32,759500.0,424350.09,-335149.91
130,A. Singh,RCB,India,24,58800.0,483378.3900000001,424578.3900000001
131,M. Siraj,RCB,India,29,686000.0,762545.3400000001,76545.34000000008
132,R. Kumar,RCB,India,26,19600.0,483378.3900000001,463778.3900000001
133,K. Sharma,RCB,India,35,49000.0,400739.4,351739.4
134,H. Sharma,RCB,India,24,19600.0,332684.01,313084.01
135,N. Rana,KKR,India,29,784000.0,568100.79,-215899.20999999996
136,R. Singh,KKR,India,25,53900.0,1096573.1400000001,1042673.1400000001
137,M. Singh,KKR,India,31,49000.0,236850.48,187850.48
