ID,No.,Name,Team,Nationality,Age,Batting style,Bowling style,Salary,Notes
70,48,Romario Shepherd,LSG,West Indies,28,Right-handed,Right-arm medium-fast,49000.0,Overseas
71,65,Avesh Khan,LSG,India,26,Right-handed,Right-arm fast,980000.0,
72,34,Yudhvir Singh,LSG,India,25,Right-handed,Right-arm medium,19600.0,
73,47,Mohsin Khan,LSG,India,24,Left-handed,Left-arm medium-fast,19600.0,
74,9,Yash Thakur,LSG,India,24,Right-handed,Right-arm medium-fast,44100.0,
75,78,Naveen-ul-Haq,LSG,Afghanistan,23,Right-handed,Right-arm medium-fast,49000.0,Overseas
76,8,Mayank Yadav,LSG,India,20,Right-handed,Right-arm medium,19600.0,
77,99,Amit Mishra,LSG,India,40,Right-handed,Right-arm leg spin,49000.0,
78,56,Ravi Bishnoi,LSG,India,22,Right-handed,Right-arm leg spin,392000.0,
79,15,Swapnil Singh,LSG,India,32,Right-handed,Left-arm orthodox,19600.0,
80,5,Riyan Parag,RR,India,21,Right-handed,Right-arm leg break,372400.0,
81,19,Yashasvi Jaiswal,RR,India,21,Left-handed,Right-arm leg break,392000.0,
82,21,Dhruv Jurel,RR,India,22,Right-handed,—,19600.0,Back-up wicket-keeper
83,37,Devdutt Padikkal,RR,India,22,Left-handed,—,759500.0,
84,63,Jos Buttler,RR,England,32,Right-handed,—,980000.0,"Overseas, back-up wicket-keeper"
85,66,Joe Root,RR,England,32,Right-handed,Right-arm off break,98000.0,Overseas
86,189,Shimron Hetmyer,RR,West Indies,26,Left-handed,—,833000.0,Overseas
87,11,Sanju Samson,RR,India,28,Right-handed,Right-arm off-spin,1568000.0,Captain
88,—,Donavon Ferreira,RR,South Africa,24,Right-handed,—,49000.0,Overseas
89,—,Kunal Singh Rathore,RR,India,20,Left-handed,—,19600.0,
90,4,Abdul Basith,RR,India,24,Right-handed,Right-arm off break,19600.0,
91,98,Jason Holder,RR,West Indies,31,Right-handed,Right-arm medium-fast,563500.0,Overseas
92,99,Ravichandran Ashwin,RR,India,36,Right-handed,Right-arm off break,490000.0,
93,—,Akash Vasisht,RR,India,28,Left-handed,Left-arm orthodox,19600.0,
94,12,KM Asif,RR,India,29,Right-handed,Right-arm medium,29400.0,
95,15,Kuldip Yadav,RR,India,26,Left-handed,Left-arm fast-medium,19600.0,
96,18,Trent Boult,RR,New Zealand,33,Right-handed,Left-arm fast-medium,784000.0,Overseas
97,20,Sandeep Sharma,RR,India,30,Right-handed,Right-arm medium,48699.0,Replacement for Prasidh Krishna
98,22,Kuldeep Sen,RR,India,26,Right-handed,Right-arm fast,19600.0,
99,24,Prasidh Krishna,RR,India,27,Right-handed,Right-arm fast-medium,980000.0,
100,68,Obed McCoy,RR,West Indies,26,Left-handed,Left-arm fast-medium,73500.0,Overseas
101,96,Navdeep Saini,RR,India,30,Right-handed,Right-arm fast,254800.0,
102,3,Yuzvendra Chahal,RR,India,32,Right-handed,Right-arm leg break,637000.0,
103,88,Adam Zampa,RR,Australia,31,Right-handed,Right-arm leg break,147000.0,Overseas
104,89,Murugan Ashwin,RR,India,32,Right-handed,Right-arm leg break,19600.0,
105,94,K. C. Cariappa,RR,India,29,Right-handed,Right-arm leg break,29400.0,
106,13,Faf du Plessis,RCB,South Africa,38,Right-handed,Right-arm leg-break,686000.0,Overseas; Captain
107,18,Virat Kohli,RCB,India,34,Right-handed,Right-arm medium,1470000.0,
108,97,Rajat Patidar,RCB,India,29,Right-handed,Right-arm off-break,19600.0,[53]
109,,Finn Allen,RCB,New Zealand,24,Right-handed,Right-arm off-break,78400.0,Overseas
110,,Will Jacks,RCB,England,24,Right-handed,Right-arm off-break,313600.0,Overseas[54]
111,19,Dinesh Karthik,RCB,India,37,Right-handed,Right-arm off-break,539000.0,
112,27,Anuj Rawat,RCB,India,23,Left-handed,,333200.0,
113,4,Michael Bracewell,RCB,New Zealand,32,Left-handed,Right-arm off-break,98000.0,Overseas; Replacement for Will Jacks[54]
114,6,Mahipal Lomror,RCB,India,23,Left-handed,Left-arm orthodox,93100.0,
115,15,David Willey,RCB,England,33,Left-handed,Left-arm fast-medium,196000.0,Overseas
116,21,Shahbaz Ahmed,RCB,India,28,Left-handed,Left-arm orthodox,235200.0,
117,32,Glenn Maxwell,RCB,Australia,34,Right-handed,Right-arm off-break,1078000.0,Overseas
118,43,Suyash Prabhudessai,RCB,India,25,Right-handed,Right-arm medium,29400.0,
119,49,Wanindu Hasaranga,RCB,Sri Lanka,25,Right-handed,Right-arm leg-break,1053500.0,Overseas
120,81,Kedar Jadhav,RCB,India,38,Right-handed,Right-arm off-break,98000.0,Replacement for David Willey[55]
121,,Manoj Bhandage,RCB,India,24,Left-handed,Right-arm medium-fast,19600.0,
122,,Sonu Yadav,RCB,India,23,Right-handed,Right-arm medium-fast,19600.0,
123,1,Siddarth Kaul,RCB,India,33,Right-handed,Right-arm medium,808500.0,
124,7,Wayne Parnell,RCB,South Africa,33,Left-handed,Left-arm fast-medium,49000.0,Overseas; Replacement for Reece Topley[56]
125,8,Reece Topley,RCB,England,29,Right-handed,Left-arm fast-medium,186200.0,Overseas[56]
126,11,Akash Deep,RCB,India,26,Right-handed,Right-arm fast-medium,19600.0,
127,16,Harshal Patel,RCB,India,32,Right-handed,Right-arm medium,1053500.0,
128,31,Vijaykumar Vyshak,RCB,India,26,Right-handed,Right-arm medium,19600.0,Replacement for Rajat Patidar[56]
129,38,Josh Hazlewood,RCB,Australia,32,Left-handed,Right-arm fast-medium,759500.0,Overseas
130,45,Avinash Singh,RCB,India,24,Right-handed,Right-arm fast,58800.0,
131,73,Mohammed Siraj,RCB,India,29,Right-handed,Right-arm fast-medium,686000.0,
132,,Rajan Kumar,RCB,India,26,Left-handed,Left-arm fast-medium,19600.0,
133,33,Karn Sharma,RCB,India,35,Left-handed,Right-arm leg-break,49000.0,
134,44,Himanshu Sharma,RCB,India,24,Right-handed,Right-arm leg-break,19600.0,
135,27,Nitish Rana,KKR,India,29,Left-handed,Right-arm off break,784000.0,Captain[a]
136,35,Rinku Singh,KKR,India,25,Left-handed,Right-arm off break,53900.0,
137,1,Mandeep Singh,KKR,India,31,Right-handed,Right-arm medium,49000.0,
138,—,Jason Roy,KKR,England,32,Right-handed,Right arm-medium,274400.0,Overseas; Replacement for Shakib Al Hasan[57]
139,—,Litton Das,KKR,Bangladesh,29,Right-handed,Right-arm off-spin,49000.0,Overseas
140,18,N. Jagadeesan,KKR,India,27,Right-handed,Right-arm medium,88200.0,
